,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
731,analyst,na,8.059999999999999,10.12,6.0,0,0,Mumbai,3.8,10000+ employees,Company - Private,Computer Hardware & Software,Information Technology,₹100 to ₹500 million (INR),41,1,0,0,0,1,1,1,0,1
732,analyst,na,9.5,12.0,7.0,0,1,Delhi NCR,2.6,501 to 1000 employees,Company - Private,Home Centers & Hardware Stores,Retail,₹100 to ₹500 million (INR),31,1,0,0,0,1,1,0,0,0
733,analyst,na,9.5,12.0,7.0,0,0,Bengaluru,4.1,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,1,0,0,1,0,1,0,0,0
734,analyst,na,7.0,9.0,5.0,1,0,Hyderabad,2.6,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,₹25 to ₹50 million (INR),26,0,0,0,0,0,1,1,0,0
735,analyst,na,6.5,8.0,5.0,1,0,Delhi NCR,3.8,1001 to 5000 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),25,0,0,0,0,1,0,0,0,0
736,analyst,na,8.0,10.0,6.0,0,1,Chennai,3.9,10000+ employees,Company - Public,Consulting,Business Services,₹10+ billion (INR),33,0,0,0,0,0,0,0,0,0
737,analyst,na,6.5,8.0,5.0,0,1,Delhi NCR,3.5,501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",₹100 to ₹500 million (INR),24,0,0,0,0,1,0,0,0,0
738,analyst,na,9.0,10.0,8.0,0,1,Bengaluru,4.1,5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance,₹10+ billion (INR),83,0,0,0,0,1,1,0,0,0
739,analyst,na,7.0,9.0,5.0,0,1,Pune,3.8,51 to 200 employees,Company - Private,Internet,Information Technology,₹100 to ₹500 million (INR),20,1,0,0,0,0,1,0,0,1
740,analyst,na,7.0,9.0,5.0,0,1,Mumbai,5.0,51 to 200 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,0
741,analyst,senior,9.5,12.0,7.0,1,0,Bengaluru,4.6,51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,Education,₹100 to ₹500 million (INR),7,1,0,0,0,1,1,1,0,0
742,analyst,na,4.0,5.0,3.0,1,0,Hyderabad,3.9,51 to 200 employees,Company - Public,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,1,1,0,0,1
743,analyst,senior,6.5,8.0,5.0,0,1,Pune,3.2,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,₹100 to ₹500 million (INR),14,0,0,0,0,1,1,0,0,1
744,analyst,na,8.5,11.0,6.0,1,0,Bengaluru,3.7,1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,₹1 to ₹5 million (INR),14,1,0,0,0,1,0,0,0,1
745,analyst,senior,9.5,10.0,9.0,1,0,Pune,4.8,51 to 200 employees,Company - Private,Lending,Finance,₹50 to ₹100 million (INR),8,1,0,0,1,0,1,1,0,1
746,analyst,na,9.5,10.0,9.0,1,0,Pune,3.5,1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,₹100 to ₹500 million (INR),14,1,1,0,0,1,1,0,0,1
747,analyst,na,6.0,8.0,4.0,0,0,Delhi NCR,4.2,51 to 200 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,1,0,0,0,1,1,1,0,1
748,analyst,na,4.5,5.0,4.0,0,0,Hyderabad,4.1,1001 to 5000 employees,Company - Private,IT Services,Information Technology,₹5 to ₹10 million (INR),14,0,0,0,1,0,0,1,0,0
749,analyst,senior,7.0,9.0,5.0,1,0,Mumbai,3.6,1001 to 5000 employees,Company - Public,IT Services,Information Technology,₹500 million to ₹1 billion (INR),24,0,0,0,0,0,1,0,0,0
